,Random_Forest,Simple_Regression,Neural_Network
0,0.3360017791165662,0.3181286906107846,0.8358434450328
1,0.2962222353161562,0.26187994869723474,0.4993431524921011
2,0.260328948712902,0.26050230637369826,0.49911657676734733
3,0.26939976904890756,0.24497122186028933,0.5717108048522332
4,0.26406726256019236,0.27504604533618765,0.5619930082041172
5,0.2133522427937472,0.2127959131544352,0.5631176609133242
6,0.2889759419425376,0.26775409989501275,0.6818507535483346
7,0.2737821382109429,0.22712496617280895,0.5987171639252353
8,0.29527701254603145,0.25336543545775625,0.5899148070317495
9,0.34769933551548643,0.3232559734670511,0.4998328030388311
