,Method,MSE
0,rf_MSE,0.20553173111886597
1,rf_MSE,0.2121035974066014
2,rf_MSE,0.11488771948965443
3,rf_MSE,0.24642856085439563
4,lr_MSE,0.0539694323791993
5,lr_MSE,0.04700255770449374
6,lr_MSE,0.04528863615442515
7,lr_MSE,0.04910097750800126
