,Random_Forest,Simple_Regression,Neural_Network
count,10.0,10.0,10.0
mean,0.28451066657634694,0.26448246010252585,0.5901440175806074
std,0.03848059590625285,0.03503729713227731,0.10295709981285471
min,0.2133522427937472,0.2127959131544352,0.49911657676734733
25%,0.2654003891823712,0.24706977525965607,0.5153728543301527
50%,0.28137904007674025,0.26119112753546647,0.5674142328827787
75%,0.295985929623625,0.27322305897589394,0.5965165747018639
max,0.34769933551548643,0.3232559734670511,0.8358434450328
