ID,PYIELD_MODEL
4359,7.541657883
4361,7.805412485
4366,7.119889783
4367,9.386410452
4369,8.311445338
4370,7.413419824
4371,11.38166505
4372,10.19714293
4373,7.839298951
4374,10.79955399
4375,6.713618305
4377,6.781012923
4379,9.48705922
4382,7.677965779
4383,7.749375145
4384,7.364385897
4385,9.995143205
4386,4.895448976
4387,7.796873276
4388,8.605162807
4390,12.69713597
4391,9.720115091
4392,7.511802156
4393,11.79462343
4396,7.113012728
4397,9.195429398
4398,7.775373902
4399,9.492221415
4400,5.563893996
4401,11.22579658
4402,6.958830457
4403,6.414957301
4404,11.74769203
4405,10.3352727
4406,7.646554891
4407,8.621463772
4408,9.668325662
4409,4.816010829
4410,7.008912204
4413,9.261403006
4414,6.28789206
4415,4.882860909
4418,6.278874131
4419,8.661125125
4420,6.645721796
4421,7.529832329
4422,10.59141729
4423,11.00293266
4424,7.982961054
4425,5.65359173
4426,7.223979212
4427,8.125449879
4428,9.156321375
4429,6.733168168
4430,6.47720664
4431,6.395913674
4432,4.735567065
4433,2.821101922
4434,5.135868662
4435,-0.436997647
4437,0.930469884
4438,3.272328102
4439,3.626244606
4440,7.055439274
4442,4.729981754
4443,0.48238397
4444,4.741278305
4445,6.017909806
4446,2.623832219
4447,4.029644409
4448,4.419272652
4450,5.194539456
4451,8.830353823
4452,5.482742466
4454,8.000985537
4455,3.550155323
4456,0.296304672
4458,4.621725032
4459,6.097813574
4460,6.093907776
4461,9.143594964
4462,5.005605203
4463,2.554207768
4464,3.947264994
4466,4.659357196
4467,6.195218663
4468,2.808333599
4469,5.35336758
4470,5.072514272
4471,4.450993049
4472,6.252300157
4473,6.831942812
4474,7.728874767
4475,4.582733782
4477,7.614684855
4479,5.609784555
4480,5.561153238
4481,6.666682685
4482,4.057296345
4483,5.171151257
4485,6.133774486
4486,5.703710053
4487,5.176087394
4488,8.679739414
4489,5.040515689
4490,9.371844537
4492,6.71283231
4493,5.957252412
4494,6.411908061
4496,6.626989101
4497,5.918855549
4499,7.572649963
4500,4.710954246
4501,4.846838403
4502,7.835380933
4503,5.624542501
4504,9.795272983
4505,5.83935984
4506,5.78604398
4507,8.977917161
4508,4.209693513
4509,6.13051958
4510,3.832506143
4511,6.431863073
4512,8.511845276
4514,3.146988941
4515,4.717749843
4516,5.213389629
4517,2.352635468
4518,4.849749533
4520,7.810655868
4522,3.244473
4523,3.064999797
4524,2.542029348
4526,6.912304306
4527,5.37939832
4528,6.409256102
4529,5.036764791
4530,2.941725656
4531,3.194960481
4532,0.44222413
4533,2.28867929
4534,5.003608712
4535,0.916454657
4537,1.485375325
4538,4.677092129
4539,8.28831287
4540,7.017306444
4542,4.284585495
4543,3.602783773
4544,3.585898828
4545,5.562775545
4546,6.251750674
4547,4.916053574
4548,7.001276119
4550,5.569243027
4551,7.018713529
4552,5.951387475
4553,6.107914273
4554,7.970940996
4555,8.551465343
4557,4.377817991
4558,3.111195494
4559,8.701953474
4560,6.104711157
4561,6.322302518
4562,6.074436674
4564,7.813866834
4565,5.185283814
4566,2.259486943
4567,4.328440324
4568,2.335160885
4569,5.829909257
4571,8.422069374
4572,2.318546927
4573,9.48326876
4574,4.993038634
4575,3.064616609
4576,5.027008313
4577,3.996757619
4578,7.281361845
4579,6.779870724
4582,3.046486799
4583,5.985131082
4584,3.497113235
