"Silt loam"||"134539395"|"136846423"
"Silt loam"||"134539396"|"136846706"
"Very fine sandy loam"||"134539397"|"136846558"
"Loam"||"134539398"|"136846559"
"Silty clay loam"||"134539402"|"136846837"
"Fine sandy loam"||"134539403"|"136846838"
"Loam"||"134539404"|"136846836"
"Clay"||"134539399"|"136846704"
"Clay"||"134539400"|"136846421"
"Silty clay"||"134539401"|"136846835"
"Silt loam"||"134539405"|"136846422"
"Silty clay loam"||"134539406"|"136846705"
"Silty clay loam"||"134539410"|"136846557"
"Silty clay"||"134539409"|"136846556"
"Clay"||"134539408"|"136846555"
"Clay"||"134539414"|"136846418"
"Silty clay"||"134539415"|"136846554"
"Silty clay"||"134539407"|"136846702"
"Silty clay loam"||"134539411"|"136846703"
"Silt loam"||"134539412"|"136846420"
"Silty clay"||"134539413"|"136846419"
"Silty clay loam"||"134539420"|"136846834"
"Silt loam"||"134539421"|"136846701"
"Loam"||"134539422"|"136846417"
"Silt loam"||"134539416"|"136846700"
"Silty clay loam"||"134539417"|"136846831"
"Silt loam"||"134539418"|"136846832"
"Loam"||"134539419"|"136846833"
"Silty clay loam"||"134539432"|"136846604"
"Loam"||"134539431"|"136846312"
"Fine sandy loam"||"134539430"|"136846603"
"Clay"||"134539428"|"136846747"
"Silty clay"||"134539429"|"136846748"
"Silty clay"||"134539427"|"136846746"
