"Ap"||"A"||||0|||33|||33||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|85|92.5|100||21.4|||0.1|||0.4|||1.3|||5.9|||13.7|||69.6||||||||0|9|18||||0.5|1.75|3||||1.3|1.48|1.65|||||1.55|||4.23|9.17|14.11|0.18|0.21|0.23|||||23.6|||7.8|||41||0|1.5|2.9|0|24|35|0|5|12|0|3|13|".55"|".55"|0|3|5|0|0|0|0|0|0||||8|14|20|||||||5.6|7.3|9|||||||||||||||||||||||||||||||||"22589577"|"66811106"
"C"||"C"||||33|||152|||119||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|75|87.5|100||21.4|||0.1|||0.4|||1.3|||5.9|||13.7|||69.6||||||||0|9|18||||0.5|0.75|1||||1.3|1.48|1.65|||||1.55|||4.23|9.17|14.11|0.2|0.22|0.23|||||22|||6.4|||42||0|1.5|2.9|0|22|31|0|5|12|0|2|11|".64"|".64"|0|3|5|0|0|0|0|0|0||||5|13.5|22|||||||5.6|7.3|9|||||||||||||||||||||||||||||||||"22589577"|"66811107"
"3Cg"|3|"C"|||150|150|||216|||66||0|0|0|0|0|0|100|100|100|95|97.5|100|65|82.5|100|51|75.5|100||41.6|||3.9|||5.4|||7.3|||13|||12|||37.4||||||||10|21|32||||0|0.25|0.5||||1.4|1.45|1.5||||1.47|1.52|1.58||0.42|7.27|14.11|0.1|0.16|0.22||||12.6|27.5|32.5|5.6|12.3|19.2|40|42|45|0|1.5|2.9|20|30|41|6|14|55|0|8|23|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|8|16.5|24.3||||7|16|24|5.6|7|8.4|||||||||||||||||||||||||||||||||"22589578"|"66811110"
"Ap"||"A"|||0|0|||30|||30||0|0|0|0|0|0|100|100|100|98|99|100|95|97.5|100|90|95|100||17.1|||1.5|||2.1|||2.9|||5.3|||5.3|||27.9||||||||35|55|75||||1|2|3||||1.45|1.5|1.55||||1.82|1.87|1.94||0|0.21|0.42|0.15|0.18|0.2||||24.3|37.4|40.5|22|32.4|36.4|38|40|42|6|7.5|8.9|47|67|87|25|40|55|24|44|66|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|26.8|40.5|53.6||||22|37|54|5.6|6.7|7.8|||||||||||||||||||||||||||||||||"22589578"|"66811108"
"Bssg"||"B"|||30|30|||76|||46||0|0|0|0|0|0|100|100|100|98|99|100|95|97.5|100|90|95|100||17.1|||1.5|||2.1|||2.9|||5.3|||5.3|||27.9||||||||35|55|75||||0|0.25|0.5||||1.45|1.5|1.55||||1.82|1.87|1.94||0|0.21|0.42|0.15|0.18|0.2||||23.8|37.4|40.5|20.8|30.4|36.4|39|41|43|6|7.5|8.9|45|63|81|25|40|55|23|42|64|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|23.5|37.8|50.5||||19|35|51|5.6|6.7|7.8|||||||||||||||||||||||||||||||||"22589578"|"66811109"
"2Bg"|2|"B"|||76|76|||150|||74||0|0|0|0|0|0|100|100|100|100|100|100|65|82.5|100|51|75.5|100||21.9|||1.8|||2.4|||2.2|||6.7|||8.8|||55.1||||||||10|23|32||||0|0.25|0.5||||1.4|1.45|1.5||||1.47|1.54|1.58||0.42|7.27|14.11|0.15|0.16|0.22||||12.6|27.5|32.5|5.7|13.6|19.2|41|42|45|0|1.5|2.9|20|30|41|6|14|55|0|8|23|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|8|17.9|24.3||||7|16|24|5.6|7|8.4|||||||||||||||||||||||||||||||||"22589578"|"66811111"
"Bg"||"B"||||107|||122||30|55|79|0|0|0|0|0|0|95|97.5|100|95|97.5|100|95|97.5|100|90|95|100||7.9|||0.2|||0.5|||0.9|||2.5|||3.8|||51.1||||||||27|41|55||||0|0.25|0.5||||1.2|1.43|1.65||||1.55|1.78|1.85||0.42|0.92|1.41|0.12|0.17|0.21||||20.6|30.5|35|15|22.3|30.4|35|43|52|6|7.5|8.9|38|52|65|19|30|40|17|31|46|".37"|".37"|0|3|5|0|0|0|0|0|0|0|0|0|15|27.5|40||||12|26|40|6.1|7.4|8.4|||||||||||||||||||||||||||||||||"22589579"|"66811113"
"Bssg"||"B"||||28|||107||46|87|127|0|0|0|0|0|0|95|97.5|100|95|97.5|100|95|97.5|100|90|95|100|0.5|1.8|3||0.1|||0.1|||0.2|||0.6|||0.8|||50.7||||||||40|47.5|55||||0.5|0.75|1||||1.2|1.4|1.6||||1.73|2.06|2.06||0|0.21|0.42|0.12|0.17|0.21||||26.9|32.6|35.1|21.6|26.1|30.8|36|44|52|9|17|25|52|64|76|29|36|42|28|40|51|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|15|27.5|40||||11|25|40|5.6|7|8.4||||||||||0|4.1|9.9|||||||||||||||||||||"22589579"|"66811115"
"Ap"||"A"||||0|||28||15|22|30|0|0|0|0|0|0|100|100|100|100|100|100|100|100|100|95|97.5|100|0.5|1.8|3||0.1|||0.1|||0.2|||0.6|||0.8|||53.2||||||||40|45|50||0||0.5|2.25|4||||1.35|1.5|1.65||||1.56|1.71|1.78||0.42|0.92|1.41|0.18|0.2|0.22||||27.6|33.6|35.9|22.6|27.6|32.4|34|40|45|3|4.5|5.9|40|57|66|28|32|36|29|35|43|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|10|17.5|25||||6|15|25|5.6|7|8.4|||||||||||||||||||||||||||||||||"22589579"|"66811112"
"Ab,Bgb"||"A"||||122|||203||0|12|25|0|0|0|0|0|0|95|97.5|100|95|97.5|100|90|95|100|60|75|90||17.3|||0.1|||0.4|||1.2|||5|||10.6|||48.7||||||||18|34|50||||0|0.25|0.5||||1.2|1.43|1.65||||1.4|1.63|1.7||0.42|0.92|1.41|0.12|0.17|0.21||||16.6|32.3|37|10|19.5|27.7|35|43|52|3|4.5|5.9|29|44|59|12|24|36|4|17|35|".43"|".43"|0|3|5|0|0|0|0|0|0|0|0|0|10|25|40||||9|24|40|6.1|7.4|8.4|||||||||||||||||||||||||||||||||"22589579"|"66811114"
