"CH"|Yes|"66811121"|"124495560"
"CH"|Yes|"66811122"|"124495561"
"ML"|No |"66811123"|"124495562"
"CL"|Yes|"66811123"|"124495563"
"CL-ML"|No |"66811123"|"124495564"
"CL"|Yes|"66811117"|"124495552"
"CL"|Yes|"66811116"|"124495551"
"CL"|Yes|"66811118"|"124495553"
"CL-ML"|No |"66811118"|"124495554"
"ML"|No |"66811118"|"124495555"
"CL"|Yes|"66811114"|"124495549"
"CH"|Yes|"66811112"|"124495545"
"CL"|No |"66811112"|"124495546"
"CH"|Yes|"66811115"|"124495550"
"CH"|Yes|"66811113"|"124495547"
"CL"|No |"66811113"|"124495548"
"CL"|Yes|"66811111"|"124495542"
"ML"|No |"66811111"|"124495543"
"CL-ML"|No |"66811111"|"124495544"
"CH"|Yes|"66811109"|"124495538"
"CH"|Yes|"66811108"|"124495537"
"CL"|Yes|"66811110"|"124495539"
"CL-ML"|No |"66811110"|"124495540"
"ML"|No |"66811110"|"124495541"
"CL-ML"|Yes|"66811107"|"124495535"
"ML"|No |"66811107"|"124495536"
"CL-ML"|Yes|"66811106"|"124495533"
"ML"|No |"66811106"|"124495534"
