ID,MUSYM
4319,CmA
4320,CmA
4321,CmA
4322,CmA
4323,CmA
4324,CmA
4326,CmA
4327,CmA
4328,CmA
4329,CmA
4331,CmA
4332,CmA
4333,CmA
4334,CmA
4335,CmA
4336,CmA
4337,CmA
4338,CmA
4340,CmA
4341,CmA
4342,CmA
4343,CmA
4345,CmA
4346,CmA
4347,CmA
4348,CmA
4349,CmA
4350,CmA
4352,CmA
4353,CmA
4354,CmA
4355,CmA
4356,CmA
4357,CmA
4358,CmA
4359,CmA
4361,CmA
4366,CmA
4367,CmA
4369,CmA
4370,CmA
4371,CmA
4372,CmA
4373,CmA
4374,CmA
4375,CmA
4377,CmA
4379,CmA
4382,CmA
4383,CmA
4384,CmA
4385,CmA
4386,CmA
4387,CmA
4388,CmA
4390,CmA
4391,CmA
4392,CmA
4393,CmA
4396,CmA
4397,CmA
4398,CmA
4399,CmA
4400,CmA
4401,CmA
4402,CmA
4403,CmA
4404,CmA
4405,CmA
4406,CmA
4407,CmA
4408,CmA
4409,CmA
4410,CmA
4413,CmA
4414,CmA
4415,CmA
4418,CmA
4419,CmA
4420,CmA
4421,CmA
4422,CmA
4423,CmA
4424,CmA
4425,CmA
4426,CmA
4427,CmA
4428,CmA
4429,CmA
4430,CmA
4431,CmA
4432,CmA
4433,CmA
4434,CmA
4435,CmA
4437,CmA
4438,CmA
4439,CmA
4440,CmA
4442,CmA
4443,CmA
4444,CmA
4445,CmA
4446,CmA
4447,CmA
4448,CmA
4450,CmA
4451,CmA
4452,CmA
4454,CmA
4455,CmA
4456,CmA
4458,CmA
4459,CmA
4460,CmA
4461,CmA
4462,CmA
4463,CmA
4464,CmA
4466,CmA
4467,CmA
4468,CmA
4469,CmA
4470,CmA
4471,CmA
4472,CmA
4473,CmA
4474,CmA
4475,CmA
4477,CmA
4479,CmA
4480,CmA
4481,CmA
4482,CmA
4483,CmA
4485,CmA
4486,CmA
4487,CmA
4488,CmA
4489,CmA
4490,CmA
4492,CmA
4493,CmA
4494,CmA
4496,CmA
4497,CmA
4499,CmA
4500,CmA
4501,CmA
4502,CmA
4503,CmA
4504,CmA
4505,CmA
4506,CmA
4507,CmA
4508,CmA
4509,CmA
4510,CmA
4511,CmA
4512,CmA
4514,CmA
4515,CmA
4516,CmA
4517,CmA
4518,CmA
4520,CmA
4522,CmA
4523,CmA
4524,CmA
4526,CmA
4527,CmA
4528,CmA
4529,CmA
4530,CmA
4531,CmA
4532,CmA
4533,CmA
4534,CmA
4535,CmA
4537,CmA
4538,CmA
4539,CmA
4540,CmA
4542,CmA
4543,CmA
4544,CmA
4545,CmA
4546,CmA
4547,CmA
4548,CmA
4550,CmA
4551,CmA
4552,CmA
4553,CmA
4554,CmA
4555,CmA
4557,CmA
4558,CmA
4559,CmA
4560,CmA
4561,CmA
4562,CmA
4564,CmA
4565,CmA
4566,CmA
4567,CmA
4568,CmA
4569,CmA
4571,CmA
4572,CmA
4573,CmA
4574,CmA
4575,CmA
4576,CmA
4577,CmA
4578,CmA
4579,CmA
4582,CmA
4583,CmA
4584,CmA
