"ML"|No |"67861858"|"126298128"
"SM"|No |"67861858"|"126298129"
"SC-SM"|Yes|"67861858"|"126298130"
"ML"|No |"67861857"|"126298126"
"SM"|Yes|"67861857"|"126298127"
"CL-ML"|Yes|"67861860"|"126298132"
"ML"|No |"67861860"|"126298133"
"CL-ML"|Yes|"67861859"|"126298131"
"CL-ML"|Yes|"67861861"|"126298134"
"ML"|No |"67861861"|"126298135"
"CL"|Yes|"67861721"|"126297913"
"CL"|Yes|"67861720"|"126297910"
"CL-ML"|No |"67861720"|"126297911"
"ML"|No |"67861720"|"126297912"
"CL"|Yes|"67861722"|"126297914"
"CH"|Yes|"67861801"|"126298039"
"CH"|No |"67861801"|"126298040"
"CL"|Yes|"67861802"|"126298041"
"CL"|Yes|"67861803"|"126298042"
"CL"|Yes|"67861800"|"126298038"
