ID,LOCATION,lat,long
4312,RRS,30.26878,-91.108278
4313,RRS,30.26878,-91.108278
4314,RRS,30.26878,-91.108278
4315,RRS,30.26878,-91.108278
4316,RRS,30.26878,-91.108278
4319,RRS,30.26878,-91.108278
4320,RRS,30.26878,-91.108278
4321,RRS,30.26878,-91.108278
4322,RRS,30.26878,-91.108278
4323,RRS,30.26878,-91.108278
4324,RRS,30.26878,-91.108278
4326,RRS,30.26878,-91.108278
4327,RRS,30.26878,-91.108278
4328,RRS,30.26878,-91.108278
4329,RRS,30.26878,-91.108278
4331,RRS,30.26878,-91.108278
4332,RRS,30.26878,-91.108278
4333,RRS,30.26878,-91.108278
4334,RRS,30.26878,-91.108278
4335,RRS,30.26878,-91.108278
4336,RRS,30.26878,-91.108278
4337,RRS,30.26878,-91.108278
4338,RRS,30.26878,-91.108278
4340,RRS,30.26878,-91.108278
4341,RRS,30.26878,-91.108278
4342,RRS,30.26878,-91.108278
4343,RRS,30.26878,-91.108278
4345,RRS,30.26878,-91.108278
4346,RRS,30.26878,-91.108278
4347,RRS,30.26878,-91.108278
4348,RRS,30.26878,-91.108278
4349,RRS,30.26878,-91.108278
4350,RRS,30.26878,-91.108278
4352,RRS,30.26878,-91.108278
4353,RRS,30.26878,-91.108278
4354,RRS,30.26878,-91.108278
4355,RRS,30.26878,-91.108278
4356,RRS,30.26878,-91.108278
4357,RRS,30.26878,-91.108278
4358,RRS,30.26878,-91.108278
4359,RRS,30.26878,-91.108278
4361,RRS,30.26878,-91.108278
4366,RRS,30.26878,-91.108278
4367,RRS,30.26878,-91.108278
4369,RRS,30.26878,-91.108278
4370,RRS,30.26878,-91.108278
4371,RRS,30.26878,-91.108278
4372,RRS,30.26878,-91.108278
4373,RRS,30.26878,-91.108278
4374,RRS,30.26878,-91.108278
4375,RRS,30.26878,-91.108278
4377,RRS,30.26878,-91.108278
4379,RRS,30.26878,-91.108278
4382,RRS,30.26878,-91.108278
4383,RRS,30.26878,-91.108278
4384,RRS,30.26878,-91.108278
4385,RRS,30.26878,-91.108278
4386,RRS,30.26878,-91.108278
4387,RRS,30.26878,-91.108278
4388,RRS,30.26878,-91.108278
4390,RRS,30.26878,-91.108278
4391,RRS,30.26878,-91.108278
4392,RRS,30.26878,-91.108278
4393,RRS,30.26878,-91.108278
4396,RRS,30.26878,-91.108278
4397,RRS,30.26878,-91.108278
4398,RRS,30.26878,-91.108278
4399,RRS,30.26878,-91.108278
4400,RRS,30.26878,-91.108278
4401,RRS,30.26878,-91.108278
4402,RRS,30.26878,-91.108278
4403,RRS,30.26878,-91.108278
4404,RRS,30.26878,-91.108278
4405,RRS,30.26878,-91.108278
4406,RRS,30.26878,-91.108278
4407,RRS,30.26878,-91.108278
4408,RRS,30.26878,-91.108278
4409,RRS,30.26878,-91.108278
4410,RRS,30.26878,-91.108278
4413,RRS,30.26878,-91.108278
4414,RRS,30.26878,-91.108278
4415,RRS,30.26878,-91.108278
4418,RRS,30.26878,-91.108278
4419,RRS,30.26878,-91.108278
4420,RRS,30.26878,-91.108278
4421,RRS,30.26878,-91.108278
4422,RRS,30.26878,-91.108278
4423,RRS,30.26878,-91.108278
4424,RRS,30.26878,-91.108278
4425,RRS,30.26878,-91.108278
4426,RRS,30.26878,-91.108278
4427,RRS,30.26878,-91.108278
4428,RRS,30.26878,-91.108278
4429,RRS,30.26878,-91.108278
4430,RRS,30.26878,-91.108278
4431,RRS,30.26878,-91.108278
4432,RRS,30.26878,-91.108278
4433,RRS,30.26878,-91.108278
4434,RRS,30.26878,-91.108278
4435,RRS,30.26878,-91.108278
4437,RRS,30.26878,-91.108278
4438,RRS,30.26878,-91.108278
4439,RRS,30.26878,-91.108278
4440,RRS,30.26878,-91.108278
4442,RRS,30.26878,-91.108278
4443,RRS,30.26878,-91.108278
4444,RRS,30.26878,-91.108278
4445,RRS,30.26878,-91.108278
4446,RRS,30.26878,-91.108278
4447,RRS,30.26878,-91.108278
