ID,LOCATION,GDD_cum
4323,BenHur,7714.5
4324,BenHur,7714.5
4326,BenHur,7714.5
4327,BenHur,7714.5
4328,BenHur,7714.5
4329,BenHur,7714.5
4331,BenHur,7714.5
4332,BenHur,7714.5
4333,BenHur,7714.5
4334,BenHur,7714.5
4335,BenHur,7714.5
4336,BenHur,7714.5
4337,BenHur,7714.5
4338,BenHur,7714.5
4340,BenHur,7714.5
4341,BenHur,7714.5
4342,BenHur,7714.5
4343,BenHur,7714.5
4345,BenHur,7714.5
4346,BenHur,7714.5
4347,BenHur,7714.5
4348,BenHur,7714.5
4349,BenHur,7714.5
4350,BenHur,7714.5
4352,BenHur,7714.5
4353,BenHur,7714.5
4354,BenHur,7714.5
4355,BenHur,7714.5
4356,BenHur,7714.5
4357,BenHur,7714.5
4358,BenHur,7714.5
4359,BenHur,7714.5
4361,BenHur,7714.5
4366,BenHur,7714.5
4367,BenHur,7714.5
4369,BenHur,7714.5
4370,BenHur,7714.5
4371,BenHur,7714.5
4372,BenHur,7714.5
4373,BenHur,7714.5
4374,BenHur,7714.5
4375,BenHur,7714.5
4377,BenHur,7714.5
4379,BenHur,7714.5
4382,BenHur,7714.5
4383,BenHur,7714.5
4384,BenHur,7714.5
4385,BenHur,7714.5
4386,BenHur,7714.5
4387,BenHur,7714.5
4388,BenHur,7714.5
4390,BenHur,7714.5
4391,BenHur,7714.5
4392,BenHur,7714.5
4393,BenHur,7714.5
4396,BenHur,7714.5
4397,BenHur,7714.5
4398,BenHur,7714.5
4399,BenHur,7714.5
4400,BenHur,7714.5
4401,BenHur,7714.5
4402,BenHur,7714.5
4403,BenHur,7714.5
4404,BenHur,7714.5
4405,BenHur,7714.5
4406,BenHur,7714.5
4407,BenHur,7714.5
4408,BenHur,7714.5
4409,BenHur,7714.5
4410,BenHur,7714.5
4413,BenHur,7714.5
4414,BenHur,7714.5
4415,BenHur,7714.5
4418,BenHur,7714.5
4419,BenHur,7714.5
4420,BenHur,7714.5
4421,BenHur,7714.5
4422,BenHur,7714.5
4423,BenHur,7714.5
4424,BenHur,7714.5
4425,BenHur,7714.5
4426,BenHur,7714.5
4427,BenHur,7714.5
4428,BenHur,7714.5
4429,BenHur,7714.5
4430,BenHur,7714.5
4431,BenHur,7714.5
4432,BenHur,7714.5
4433,BenHur,7714.5
4434,BenHur,7714.5
4435,BenHur,7714.5
4437,BenHur,7714.5
4438,BenHur,7714.5
4439,BenHur,7714.5
4440,BenHur,7714.5
4442,BenHur,7714.5
4443,BenHur,7714.5
4444,BenHur,7714.5
4445,BenHur,7714.5
4446,BenHur,7714.5
4447,BenHur,7714.5
4448,BenHur,7714.5
4450,BenHur,7714.5
4451,BenHur,7714.5
4452,BenHur,7714.5
4454,BenHur,7714.5
4455,BenHur,7714.5
4456,BenHur,7714.5
4458,BenHur,7714.5
4459,BenHur,7714.5
4460,BenHur,7714.5
4461,BenHur,7714.5
4462,BenHur,7714.5
4463,BenHur,7714.5
4464,BenHur,7714.5
4466,BenHur,7714.5
4467,BenHur,7714.5
4468,BenHur,7714.5
4469,BenHur,7714.5
4470,BenHur,7714.5
4471,BenHur,7714.5
4472,BenHur,7714.5
4473,BenHur,7714.5
4474,BenHur,7714.5
4475,BenHur,7714.5
4477,BenHur,7714.5
4479,BenHur,7714.5
4480,BenHur,7714.5
4481,BenHur,7714.5
4482,BenHur,7714.5
4483,BenHur,7714.5
4485,BenHur,7714.5
4486,BenHur,7714.5
4487,BenHur,7714.5
4488,BenHur,7714.5
4489,BenHur,7714.5
4490,BenHur,7714.5
4492,BenHur,7714.5
4493,BenHur,7714.5
4494,BenHur,7714.5
4496,BenHur,7714.5
4497,BenHur,7714.5
4499,BenHur,7714.5
4500,BenHur,7714.5
4501,BenHur,7714.5
4502,BenHur,7714.5
4503,BenHur,7714.5
4504,BenHur,7714.5
4505,BenHur,7714.5
4506,BenHur,7714.5
4507,BenHur,7714.5
4508,BenHur,7714.5
4509,BenHur,7714.5
4510,BenHur,7714.5
4511,BenHur,7714.5
4512,BenHur,7714.5
4514,BenHur,7714.5
4515,BenHur,7714.5
4516,BenHur,7714.5
4517,BenHur,7714.5
4518,BenHur,7714.5
4520,BenHur,7714.5
4522,BenHur,7714.5
4523,BenHur,7714.5
4524,BenHur,7714.5
4526,BenHur,7714.5
4527,BenHur,7714.5
4528,BenHur,7714.5
4529,BenHur,7714.5
4530,BenHur,7714.5
4531,BenHur,7714.5
4532,BenHur,7714.5
4533,BenHur,7714.5
4534,BenHur,7714.5
4535,BenHur,7714.5
4537,BenHur,7714.5
4538,BenHur,7714.5
4539,BenHur,7714.5
4540,BenHur,7714.5
4542,BenHur,7714.5
4543,BenHur,7714.5
4544,BenHur,7714.5
4545,BenHur,7714.5
4546,BenHur,7714.5
4547,BenHur,7714.5
4548,BenHur,7714.5
4550,BenHur,7714.5
4551,BenHur,7714.5
4552,BenHur,7714.5
4553,BenHur,7714.5
4554,BenHur,7714.5
4555,BenHur,7714.5
4557,BenHur,7714.5
4558,BenHur,7714.5
4559,BenHur,7714.5
4560,BenHur,7714.5
4561,BenHur,7714.5
4562,BenHur,7714.5
4564,BenHur,7714.5
4565,BenHur,7714.5
4566,BenHur,7714.5
4567,BenHur,7714.5
4568,BenHur,7714.5
4569,BenHur,7714.5
4571,BenHur,7714.5
4572,BenHur,7714.5
4573,BenHur,7714.5
4574,BenHur,7714.5
4575,BenHur,7714.5
4576,BenHur,7714.5
4577,BenHur,7714.5
4578,BenHur,7714.5
4579,BenHur,7714.5
4582,BenHur,7714.5
4583,BenHur,7714.5
4584,BenHur,7714.5
