LOCATION,Date,MINTEMP,MAXTEMP
RRS,7/5/2015,72,91
RRS,7/6/2015,72,92
RRS,7/7/2015,78,92
RRS,7/8/2015,78,92
RRS,7/9/2015,77,94
RRS,7/10/2015,76,93
RRS,7/11/2015,75,95
RRS,7/12/2015,77,95
RRS,7/13/2015,78,94
RRS,7/14/2015,75,95
RRS,7/15/2015,76,95
RRS,7/16/2015,78,96
RRS,7/17/2015,77,95
RRS,7/18/2015,78,95
RRS,7/19/2015,80,97
RRS,7/20/2015,80,96
RRS,7/21/2015,79,93
RRS,7/22/2015,78,94
RRS,7/23/2015,77,96
RRS,7/24/2015,78,96
RRS,7/25/2015,78,98
RRS,7/26/2015,77,96
RRS,7/27/2015,76,96
RRS,7/28/2015,76,97
RRS,7/29/2015,79,98
RRS,7/30/2015,77,101
RRS,7/31/2015,75,94
RRS,8/1/2015,71,96
RRS,8/2/2015,70,98
RRS,8/3/2015,74,98
RRS,8/4/2015,75,98
RRS,8/5/2015,79,97
RRS,8/6/2015,77,97
RRS,8/7/2015,78,99
RRS,8/8/2015,80,99
RRS,8/9/2015,81,100
RRS,8/10/2015,81,102
RRS,8/11/2015,79,95
RRS,8/12/2015,75,100
RRS,8/13/2015,76,98
RRS,8/14/2015,74,97
RRS,8/15/2015,76,96
RRS,8/16/2015,75,91
RRS,8/17/2015,75,93
RRS,8/18/2015,76,88
RRS,8/19/2015,74,86
RRS,8/20/2015,76,87
RRS,8/21/2015,73,87
RRS,8/22/2015,73,91
RRS,8/23/2015,74,96
RRS,8/24/2015,80,97
RRS,8/25/2015,72,90
RRS,8/26/2015,64,88
RRS,8/27/2015,64,89
RRS,8/28/2015,64,90
RRS,8/29/2015,67,91
RRS,8/30/2015,68,91
RRS,8/31/2015,72,86
RRS,9/1/2015,75,90
RRS,9/2/2015,74,88
RRS,9/3/2015,74,90
RRS,9/4/2015,74,88
RRS,9/5/2015,75,91
RRS,9/6/2015,75,94
RRS,9/7/2015,72,92
RRS,9/8/2015,74,92
RRS,9/9/2015,73,92
RRS,9/10/2015,76,89
RRS,9/11/2015,73,90
RRS,9/12/2015,62,86
RRS,9/13/2015,56,80
RRS,9/14/2015,56,85
RRS,9/15/2015,71,89
RRS,9/16/2015,70,90
RRS,9/17/2015,71,91
RRS,9/18/2015,72,91
RRS,9/19/2015,72,93
RRS,9/20/2015,73,96
RRS,9/21/2015,71,87
RRS,9/22/2015,66,89
RRS,9/23/2015,64,89
RRS,9/24/2015,70,89
RRS,9/25/2015,69,90
RRS,9/26/2015,69,87
RRS,9/27/2015,72,82
RRS,9/28/2015,73,85
RRS,9/29/2015,73,89
RRS,9/30/2015,72,91
RRS,10/1/2015,65,85
RRS,10/2/2015,58,80
RRS,10/3/2015,55,80
RRS,10/4/2015,54,67
RRS,10/5/2015,56,85
RRS,10/6/2015,67,89
RRS,10/7/2015,66,92
RRS,10/8/2015,70,89
RRS,10/9/2015,67,90
RRS,10/10/2015,61,83
RRS,10/11/2015,54,84
RRS,10/12/2015,60,87
RRS,10/13/2015,61,92
RRS,10/14/2015,56,91
RRS,10/15/2015,57,92
RRS,10/16/2015,59,94
RRS,10/17/2015,55,80
RRS,10/18/2015,50,80
RRS,10/19/2015,46,81
RRS,10/20/2015,59,84
RRS,10/21/2015,62,86
RRS,10/22/2015,69,81
RRS,10/23/2015,71,85
RRS,10/24/2015,71,80
RRS,10/25/2015,69,76
RRS,10/26/2015,67,74
RRS,10/27/2015,63,73
RRS,10/28/2015,60,85
RRS,10/29/2015,61,83
RRS,10/30/2015,60,80
RRS,10/31/2015,68,80
RRS,11/1/2015,66,69
RRS,11/2/2015,65,73
RRS,11/3/2015,66,74
RRS,11/4/2015,63,84
RRS,11/5/2015,66,86
RRS,11/6/2015,71,89
RRS,11/7/2015,65,76
RRS,11/8/2015,54,71
RRS,11/9/2015,55,66
RRS,11/10/2015,60,78
RRS,11/11/2015,63,83
RRS,11/12/2015,54,74
RRS,11/13/2015,49,71
RRS,11/14/2015,50,69
RRS,11/15/2015,45,75
RRS,11/16/2015,61,79
RRS,11/17/2015,58,82
RRS,11/18/2015,53,72
RRS,11/19/2015,50,75
RRS,11/20/2015,50,73
RRS,11/21/2015,48,65
RRS,11/22/2015,38,54
RRS,11/23/2015,34,61
RRS,11/24/2015,42,69
RRS,11/25/2015,52,76
RRS,11/26/2015,64,80
RRS,11/27/2015,65,78
RRS,11/28/2015,65,80
RRS,11/29/2015,66,79
RRS,11/30/2015,66,79
RRS,12/1/2015,59,68
RRS,12/2/2015,50,60
RRS,12/3/2015,43,59
RRS,12/4/2015,37,61
RRS,12/5/2015,37,68
RRS,12/6/2015,46,72
RRS,12/7/2015,47,71
RRS,12/8/2015,43,71
RRS,12/9/2015,51,76
RRS,12/10/2015,54,80
RRS,12/11/2015,67,80
RRS,12/12/2015,67,80
RRS,12/13/2015,52,79
RRS,12/14/2015,50,71
RRS,12/15/2015,47,75
RRS,12/16/2015,60,75
RRS,12/17/2015,44,63
RRS,12/18/2015,38,59
RRS,12/19/2015,34,61
RRS,12/20/2015,36,69
RRS,12/21/2015,63,72
RRS,12/22/2015,66,72
RRS,12/23/2015,67,78
