27652|"518517"|"1722578"|"30895058"
27652|"518513"|"1722578"|"30895057"
2084|"518517"|"1722575"|"30895056"
2084|"518513"|"1722575"|"30895055"
|"518518"|"1722427"|"30895043"
3708|"518517"|"1722427"|"30895042"
3708|"518513"|"1722427"|"30895041"
|"518518"|"1722424"|"30895073"
2784|"518516"|"1722424"|"30895072"
2784|"518513"|"1722424"|"30895071"
|"518518"|"1722421"|"30895031"
16914|"518514"|"1722421"|"30895030"
16914|"518513"|"1722421"|"30895029"
|"518518"|"1722414"|"30894968"
960|"518516"|"1722414"|"30894967"
960|"518513"|"1722414"|"30894966"
|"518518"|"1722410"|"30895070"
9897|"518516"|"1722410"|"30895069"
9897|"518513"|"1722410"|"30895068"
|"518518"|"1722409"|"30895013"
5830|"518516"|"1722409"|"30895012"
5830|"518513"|"1722409"|"30895011"
|"518518"|"1722407"|"30895007"
8541|"518514"|"1722407"|"30895006"
8541|"518513"|"1722407"|"30895005"
|"518518"|"1722396"|"30895124"
3631|"518516"|"1722396"|"30895123"
3631|"518513"|"1722396"|"30895122"
|"518518"|"1722395"|"30894974"
7232|"518516"|"1722395"|"30894973"
7232|"518513"|"1722395"|"30894972"
|"518518"|"1722394"|"30895121"
10659|"518516"|"1722394"|"30895120"
10659|"518513"|"1722394"|"30895119"
|"518518"|"1722393"|"30895067"
16189|"518514"|"1722393"|"30895066"
16189|"518513"|"1722393"|"30895065"
|"518518"|"1722392"|"30894971"
6814|"518514"|"1722392"|"30894970"
6814|"518513"|"1722392"|"30894969"
|"518518"|"1722389"|"30894956"
5553|"518517"|"1722389"|"30894955"
5553|"518513"|"1722389"|"30894954"
|"518518"|"1722376"|"30894959"
30810|"518517"|"1722376"|"30894958"
30810|"518513"|"1722376"|"30894957"
