"2"|"22703576"|"5094796"
"2"|"22703605"|"5094805"
"2"|"22703627"|"5094814"
"2"|"22703659"|"5094825"
"2"|"22703683"|"5094842"
"2"|"22703698"|"5094845"
"2"|"22703706"|"5094848"
"2"|"22703707"|"5094849"
"2"|"22703713"|"5094850"
"2"|"22703714"|"5094851"
"4"|"22703714"|"5094852"
"2"|"22703715"|"5094854"
"4"|"22703715"|"5094853"
"2"|"22703716"|"5094855"
"3"|"22703716"|"5094856"
"4"|"22703716"|"5094857"
"2"|"22703717"|"5094858"
"4"|"22703717"|"5094859"
"2"|"22703752"|"5094883"
"2"|"22703753"|"5094884"
"4"|"22703763"|"5094890"
"2"|"22703764"|"5094891"
"2"|"22703765"|"5094892"
"4"|"22703765"|"5094893"
"2"|"22703769"|"5094894"
"2"|"22703776"|"5094899"
"2"|"22703781"|"5094900"
"4"|"22703781"|"5094901"
"2"|"22703782"|"5094902"
"3"|"22703782"|"5094903"
