|||"Talf"|"35542585"|"13730169"
||"Tread"||"35542951"|"13730321"
|||"Talf"|"35542748"|"13730243"
||"Tread"||"35542944"|"13730316"
|"Side Slope"|||"35542774"|"13730251"
|||"Rise"|"35542940"|"13730314"
|||"Rise"|"35542697"|"13730224"
|||"Talf"|"35542937"|"13730312"
|||"Talf"|"35542889"|"13730291"
||"Riser"||"35542947"|"13730318"
||"Tread"||"35542807"|"13730265"
|||"Rise"|"35542922"|"13730301"
|||"Rise"|"35542583"|"13730168"
|||"Dip"|"35542815"|"13730269"
||||"35542948"|"13730319"
|"Side Slope"|||"35542771"|"13730250"
|||"Dip"|"35542634"|"13730187"
|"Interfluve"|||"35542751"|"13730245"
|||"Talf"|"35542699"|"13730226"
||"Tread"||"35542919"|"13730300"
|||"Talf"|"35542698"|"13730225"
|||"Talf"|"35542801"|"13730264"
|||"Dip"|"35542812"|"13730267"
|||"Talf"|"35542638"|"13730189"
||"Tread"||"35542938"|"13730313"
||"Tread"||"35542589"|"13730171"
|||"Talf"|"35542587"|"13730170"
|||"Talf"|"35542795"|"13730260"
||"Tread"||"35542949"|"13730320"
||||"35542946"|"13730317"
|"Interfluve"|||"35542779"|"13730254"
|||"Dip"|"35542813"|"13730268"
||"Riser"||"35542776"|"13730252"
|||"Talf"|"35542794"|"13730259"
|||"Rise"|"35542695"|"13730223"
|"Side Slope"|||"35542754"|"13730246"
|"Interfluve"|||"35542750"|"13730244"
|||"Talf"|"35542818"|"13730270"
|||"Talf"|"35542636"|"13730188"
|||"Talf"|"35542777"|"13730253"
|||"Talf"|"35542798"|"13730262"
|"Side Slope"|||"35542757"|"13730247"
|||"Dip"|"35542809"|"13730266"
|||"Rise"|"35542943"|"13730315"
|||"Talf"|"35542819"|"13730271"
|||"Talf"|"35542934"|"13730311"
|||"Talf"|"35542799"|"13730263"
|"Side Slope"|||"35542533"|"13730150"
||"Tread"||"35542923"|"13730302"
|||"Dip"|"35542924"|"13730303"
|"Interfluve"|||"35542768"|"13730249"
|||"Talf"|"35542797"|"13730261"
