"Cg"||"C"|||122|140|145|200|203|203|58|63|81|0|0|0|0|0|0|100|100|100|100|100|100|96|100|100|64|71|74|52.2|58.2|67.7|0|0|0|0|0.1|0.1|0.3|0.4|0.8|5|5.9|22|41.5|51.8|52|25|34.6|35|21.1|28.1|28.1|4.4|6.5|8.6|6.8|7.2|14|0|0|0|0|0.05|0.1||||1.44|1.51|1.58||||1.46|1.53|1.6||14|28|42|0.13|0.14|0.15||||14|14.4|19.5|4.7|5.1|9.9|38|41|43|0.4|0.5|1.1|18|18|24|3|3|9|0|0|5|".64"|".64"|0|0|0|0|0|0|0|0|0|0|0|0|3.5|3.7|7.3||||2|4|7.3|4.5|7|7.3||||||||||0|0|7.9|||||||||||||||||||||"22703657"|"67121967"
"BCg"||"BC"|||120|120|122|122|140|145|18|20|25|0|0|0|0|0|0|100|100|100|100|100|100|94|98|100|78|84|91|28|29.5|34|0|0|0|0.1|1|1|0.2|2.9|3|2|2|4.1|20|23.6|29|51|61.3|67|36|47.6|50|13|13.7|17|5|9.2|20|0|0|0|0|0.07|0.1||||1.51|1.54|1.56||||1.54|1.57|1.62||4|9|14|0.21|0.24|0.26||||17|21.2|27.9|3.1|5.8|12.5|39|40|41|0.3|0.6|1.7|16|20|30|2|5|13|0|1|11|".64"|".64"|0|0|0|0|0|0|0|0|0|0|0|0|2.6|4.8|10.4||||0.7|4.6|10.4|4.5|6.7|7||||||||||0|1|8.6|||||||||||||||||||||"22703657"|"67121966"
"Btg1"||"B"||1|18|18|18|38|38|48|20|20|30|0|0|0|0|0|0|100|100|100|100|100|100|95|99|100|89|94|98|5|7.2|10|0|0.4|0.5|0|0.6|1|0|1|2|2|2.3|5|2|2.9|5|56|65.8|68|25|32.9|35|25|32.9|35|22|27|34|0|0|0|0|0.3|0.5||||1.42|1.44|1.47||||1.51|1.53|1.61||4|9|14|0.19|0.21|0.23||||28|30.4|33|12.7|15.9|20.2|42|43|44|1.4|2|3.8|31|37|44|15|19|24|8|14|24|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0||||7.2|9.6|17.5|4|8.7|16.9|4.5|5.3|6||||||||||2.1|6.6|11.9|||||||||||||||||||||"22703657"|"67121964"
"Btg3"||"B"||3|76|76|81|120|120|122|39|44|46|0|0|0|0|0|0|100|100|100|100|100|100|92|100|100|71|83|96|30|34.1|35|0|0.1|0.2|0|0.1|1|0|0.2|2|2|4.1|5|5|29.6|50|50|51.6|65|30|37.4|45|5|14.2|20|5|14.3|20|0|0|0|0|0.08|0.1||||1.53|1.58|1.64||||1.58|1.63|1.66||4|9|14|0.21|0.25|0.28||||17.2|25|28.1|3.2|9.2|12.8|36|38|40|0.3|1.1|1.7|16|25|30|2|9|13|0|5|11|".55"|".55"|0|0|0|0|0|0|0|0|0|0|0|0|2.6|7.4|10.4||||0.7|6.2|10.4|4.5|6.1|7||||||||||0|3.3|8.6|||||||||||||||||||||"22703657"|"67121965"
"Btg2"||"B"||2|38|38|48|76|76|81|28|38|43|0|0|0|0|0|0|100|100|100|100|100|100|92|100|100|72|84|97|30|32.1|35|0|0|0.1|0|0.1|1|0|0.2|2|2|2.8|5|5|29|50|50|53.3|65|30|36.3|45|5|17|20|5|14.6|20|0|0|0|0|0.2|0.5||||1.53|1.58|1.64||||1.58|1.63|1.66||4|9|14|0.21|0.25|0.28||||17.2|25.3|28.6|3.2|9.5|13.4|36|38|40|0.3|1.1|1.8|16|25|31|2|9|13|0|5|11|".55"|".55"|0|0|0|0|0|0|0|0|0|0|0|0|3|8|11||||0.8|5.8|9.7|4.5|5.5|6||||||||||2.6|5.2|8.9|||||||||||||||||||||"22703657"|"67121968"
"Ap"||"A"|||0|0|0|18|18|18|18|18|18|0|0|0|0|0|0|100|100|100|100|100|100|95|99|100|89|94|100|5|7.8|10|0|0.4|0.5|0|0.6|1|0|1.1|2|2|2.5|5|2|3.2|5|50|62.2|68|25|31.1|35|25|31.1|35|27|30|40|0|0|0|0.5|1|1.5||||1.33|1.42|1.5||||1.43|1.52|1.6||4|9|14|0.17|0.19|0.21||||30.4|31.9|35.4|16|18.3|24.5|41|43|47|1.8|2.3|4|37|41|51|18|21|28|12|18|31|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0||||8|9.5|14.3|4.5|8.1|11.8|4.5|5.3|6||||||||||3.7|8.2|14.4|||||||||||||||||||||"22703657"|"67121963"
"2B'w2"|2|"B"|"'"|2|143|143|143|178|178|178||35||0|0|0|0|0|0|100|100|100|100|100|100|95|100|100|81|86|100|20|29.5|65|0|0|0|0|0.1|0.1|0.3|0.4|0.9|1.6|2.3|5.1|18.1|26.7|58.8|0|51|62|0|33|45|0|18|20|15|19.5|35|0|0|0|0.1|0.15|0.2||||1.35|1.35|1.56||||1.43|1.44|1.6||4|9|14|0.19|0.21|0.23||||24.1|26.4|32.4|8.2|10.7|19.1|39|47|47|1.3|2|5.8|25|30|45|9|13|25|0|10|18|".55"|".55"|0|0|0|0|0|0|0|0|0|0|0|0|12|15.2|25.4||||8.6|14.7|25|5.1|6.3|7|4.5|5.3|6|||||||1.6|4.3|9.9|||||||||||||||||||||"22703658"|"67121973"
"2B''g2"|2|"B"|"''"|2|192|192|192|218|218|218||26||0|0|0|0|0|0|100|100|100|100|100|100|94|100|100|88|94|100|10|12|65|0.1|0.1|0.5|0.1|0.1|0.1|0.1|0.2|1.1|0.8|1|5.4|8.8|10.6|57.4|0|63.8|72|0|39|45|0|24.8|30|18|24.2|35|0|0|0|0.1|0.17|0.2||||1.34|1.34|1.56||||1.46|1.46|1.59||4|9|14|0.18|0.2|0.21||||25.6|28.4|32.3|9.8|13.2|19|39|47|47|1.8|2.8|5.8|28|34|45|12|17|25|0|15|18|".55"|".55"|0|0|0|0|0|0|0|0|0|0|0|0|14|18.4|25.4||||9.5|17.3|25|5.1|6.4|7|4.5|5.5|6|||||||2|4.7|9.9|||||||||||||||||||||"22703658"|"67121975"
"2B'w1"|2|"B"|"'"|1|107|107|107|143|143|143||36||0|0|0|0|0|0|100|100|100|100|100|100|99|100|100|70|71|90|20|54.9|65|0|0|0|0|0|0|0.4|0.4|0.6|8.1|8.6|12.5|43.5|45.9|66.9|0|28.9|62|0|18.8|20|0|10.1|20|15|16.2|35|0|0|0|0.1|0.15|0.2||||1.4|1.4|1.57||||1.46|1.47|1.66||14|28|42|0.12|0.13|0.14||||19.4|20.2|28.5|9.8|10.6|22.8|39|45|45|1.3|1.5|5.8|25|27|45|9|11|25|0|5|11|".55"|".55"|0|0|0|0|0|0|0|0|0|0|0|0|12|13|25.4||||8.6|12|25|5.1|6|7|4.5|5.1|6|||||||1.6|4.7|9.9|||||||||||||||||||||"22703658"|"67121971"
"2BCg"|2|"BC"|||218|218|218|225|225|225||7||0|0|0|0|0|0|100|100|100|100|100|100|78|100|100|76|98|98|0|2.6|65|0|0.1|2.5|0|0.1|0.1|0|0.2|5|0|1|25|0|1.2|30|0|57.7|82|0|22.9|45|0|34.8|45|18|39.7|40|0|0|0|0.1|0.22|0.25||||1.47|1.5|1.56||||1.72|1.72|1.84||1|2.7|4|0.15|0.17|0.19||||26.6|35.2|35.3|10.9|24.1|24.3|39|41|42|1.8|6.9|7|28|50|51|12|28|29|10|29|32|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|14|28.4|28.7||||8.8|27.3|28.3|5.1|6.4|7|4.5|5.6|6|||||||2|6.8|10.7|||||||||||||||||||||"22703658"|"67121976"
