"A-6"|No |"67121861"|"109615525"
"A-7-6"|Yes|"67121861"|"109615526"
"A-4"|No |"67121859"|"109615522"
"A-6"|Yes|"67121859"|"109615523"
"A-4"|No |"67121858"|"109615520"
"A-6"|Yes|"67121858"|"109615521"
"A-4"|Yes|"67121857"|"109615519"
"A-6"|Yes|"67121856"|"109615518"
"A-2"|No |"67121854"|"109615515"
"A-4"|Yes|"67121854"|"109615516"
"A-6"|Yes|"67121855"|"109615517"
"A-7-6"|Yes|"67121981"|"109615738"
"A-7-5"|No |"67121981"|"109615739"
"A-7-6"|Yes|"67121983"|"109615742"
"A-7-5"|No |"67121983"|"109615743"
"A-7-5"|No |"67121980"|"109615737"
"A-7-6"|Yes|"67121980"|"109615736"
"A-7-6"|Yes|"67121982"|"109615740"
"A-7-5"|No |"67121982"|"109615741"
"A-7-6"|Yes|"67121969"|"109615712"
"A-7-5"|No |"67121969"|"109615713"
"A-7-5"|Yes|"67121977"|"109615730"
"A-7-6"|No |"67121977"|"109615731"
"A-6"|Yes|"67121972"|"109615719"
"A-7-6"|No |"67121972"|"109615720"
"A-7-6"|Yes|"67121978"|"109615732"
"A-7-5"|No |"67121978"|"109615733"
"A-7-6"|Yes|"67121979"|"109615734"
"A-6"|No |"67121979"|"109615735"
"A-6"|Yes|"67121970"|"109615714"
"A-7-6"|No |"67121970"|"109615715"
"A-6"|Yes|"67121974"|"109615724"
"A-7-6"|No |"67121974"|"109615725"
"A-7-6"|Yes|"67121976"|"109615728"
"A-6"|No |"67121976"|"109615729"
"A-6"|Yes|"67121971"|"109615716"
"A-4"|No |"67121971"|"109615717"
"A-7-6"|No |"67121971"|"109615718"
"A-6"|Yes|"67121975"|"109615726"
"A-7-6"|No |"67121975"|"109615727"
"A-6"|Yes|"67121973"|"109615721"
"A-4"|No |"67121973"|"109615722"
"A-7-6"|No |"67121973"|"109615723"
"A-6"|No |"67121963"|"109615701"
"A-7-6"|Yes|"67121963"|"109615702"
"A-4"|Yes|"67121968"|"109615710"
"A-6"|No |"67121968"|"109615711"
"A-4"|Yes|"67121965"|"109615705"
"A-6"|No |"67121965"|"109615706"
"A-7-6"|No |"67121964"|"109615704"
"A-6"|Yes|"67121964"|"109615703"
"A-6"|No |"67121966"|"109615707"
"A-4"|Yes|"67121966"|"109615708"
"A-4"|Yes|"67121967"|"109615709"
