"Silty clay loam"||"135126822"|"137445083"
"Silty clay loam"||"135126628"|"137444737"
"Clay"||"135126823"|"137445084"
"Silty clay loam"||"135126637"|"137444865"
"Silty clay"||"135126752"|"137444825"
"Silt loam"||"135126808"|"137445097"
"Sandy clay loam"||"135126762"|"137444992"
"Clay"||"135126751"|"137444672"
"Sandy clay loam"||"135126626"|"137444863"
"Loam"||"135126763"|"137444677"
"Silty clay loam"||"135126970"|"137445037"
"Sandy clay loam"||"135126636"|"137444717"
"Silt loam"||"135126407"|"137444477"
"Very fine sandy loam"||"135126800"|"137444744"
"Silty clay loam"||"135126647"|"137444562"
"Loam"||"135126405"|"137444742"
"Clay"||"135126819"|"137445091"
"Silt loam"||"135126922"|"137444543"
"Clay"||"135126668"|"137445061"
"Silty clay"||"135126826"|"137445085"
"Silt loam"||"135126530"|"137444947"
"Sandy clay loam"||"135126720"|"137444657"
"Clay"||"135126793"|"137444908"
"Silty clay loam"||"135126918"|"137444535"
"Silty clay"||"135126669"|"137445074"
"Silty clay loam"||"135126657"|"137444884"
"Silt loam"||"135126955"|"137445013"
"Clay"||"135126414"|"137445044"
"Silty clay loam"||"135126926"|"137444851"
"Silty clay"||"135126815"|"137445068"
"Loam"||"135126658"|"137444577"
"Silty clay"||"135126667"|"137444566"
"Loam"||"135126731"|"137444972"
"Loam"||"135126646"|"137444868"
"Silt loam"||"135126963"|"137444555"
"Silty clay loam"||"135126804"|"137445095"
"Silt loam"||"135126919"|"137444837"
"Clay"||"135126756"|"137444515"
"Clay"||"135126734"|"137444967"
"Clay"||"135126653"|"137445042"
"Clay"||"135126794"|"137444856"
"Fine sandy loam"||"135126745"|"137444671"
"Silt loam"||"135126767"|"137444675"
"Silt loam"||"135126612"|"137445030"
"Silty clay"||"135126825"|"137445093"
"Silty clay"||"135126664"|"137444882"
"Silt loam"||"135126962"|"137444858"
"Silty clay loam"||"135126929"|"137445010"
"Very fine sandy loam"||"135126528"|"137444945"
"Silty clay loam"||"135126524"|"137444785"
"Silt loam"||"135126638"|"137445024"
"Silt loam"||"135126930"|"137445007"
"Silty clay"||"135126616"|"137444721"
"Sandy loam"||"135126719"|"137444809"
"Silty clay loam"||"135126961"|"137444710"
