46|77|107|200|203|203|"Moist"|"237502751"|"149067498"
0|0|0|46|77|107|"Moist"|"237502751"|"149067497"
0|0|0|0|31|61|"Moist"|"237503903"|"149067862"
0|31|61|183|183|183|"Wet"|"237503903"|"149067863"
0|0|0|203|203|203|"Moist"|"237503413"|"149067708"
0|0|0|15|38|61|"Moist"|"237502780"|"149067555"
15|38|61|183|183|183|"Moist"|"237502780"|"149067556"
0|0|0|28|28|28|"Moist"|"237502769"|"149067533"
28|28|28|225|225|225|"Moist"|"237502769"|"149067534"
15|15|20|152|152|203|"Moist"|"237503471"|"149067782"
0|0|0|15|15|20|"Wet"|"237503471"|"149067783"
0|0|0|203|203|203|"Moist"|"237504153"|"149067977"
0|0|0|203|203|203|"Wet"|"237504166"|"149067995"
0|0|0|203|203|203|"Wet"|"237502089"|"149067138"
0|0|0|200|200|203|"Wet"|"237503465"|"149067775"
0|0|0|0|30|61|"Moist"|"237503351"|"149067660"
0|30|61|183|183|183|"Wet"|"237503351"|"149067661"
0|0|0|203|203|203|"Moist"|"237504155"|"149067979"
0|0|0|203|203|203|"Moist"|"237503476"|"149067790"
46|69|91|203|203|203|"Wet"|"237502099"|"149067148"
0|0|0|46|69|91|"Moist"|"237502099"|"149067149"
0|0|0|0|23|46|"Moist"|"237504241"|"149068050"
0|23|46|183|183|203|"Moist"|"237504241"|"149068051"
0|0|0|203|203|203|"Moist"|"237503434"|"149067735"
0|0|0|0|23|46|"Moist"|"237501783"|"149067107"
0|23|46|183|183|183|"Wet"|"237501783"|"149067108"
0|0|0|200|200|203|"Wet"|"237503460"|"149067770"
0|0|0|203|203|203|"Moist"|"237502110"|"149067164"
0|0|0|203|203|203|"Moist"|"237503423"|"149067718"
0|0|0|203|203|203|"Moist"|"237503438"|"149067741"
0|0|0|203|203|203|"Moist"|"237503450"|"149067758"
0|0|0|46|69|91|"Moist"|"237502088"|"149067137"
0|0|0|203|203|203|"Wet"|"237504177"|"149068006"
0|0|0|203|203|203|"Moist"|"237504083"|"149067912"
0|0|0|15|15|20|"Wet"|"237503439"|"149067742"
15|15|20|152|152|203|"Moist"|"237503439"|"149067743"
0|0|0|46|77|107|"Moist"|"237502758"|"149067511"
46|77|107|200|203|203|"Moist"|"237502758"|"149067512"
0|0|0|203|203|203|"Moist"|"237504164"|"149067993"
0|0|0|0|23|46|"Moist"|"237501782"|"149067105"
0|23|46|183|183|183|"Wet"|"237501782"|"149067106"
0|0|0|46|69|91|"Moist"|"237502100"|"149067151"
46|69|91|203|203|203|"Wet"|"237502100"|"149067150"
0|0|0|200|200|203|"Wet"|"237503461"|"149067771"
0|0|0|30|38|56|"Moist"|"237503428"|"149067726"
30|38|56|203|203|203|"Wet"|"237503428"|"149067727"
0|0|0|203|203|203|"Wet"|"237504175"|"149068004"
0|0|0|203|203|203|"Wet"|"237502090"|"149067139"
0|0|0|203|203|203|"Moist"|"237503402"|"149067697"
0|0|0|15|15|20|"Wet"|"237503475"|"149067788"
15|15|20|152|152|203|"Moist"|"237503475"|"149067789"
0|0|0|203|203|203|"Moist"|"237503449"|"149067757"
0|0|0|203|203|203|"Moist"|"237503391"|"149067684"
0|0|0|46|77|107|"Moist"|"237502747"|"149067489"
46|77|107|200|203|203|"Wet"|"237502747"|"149067490"
0|0|0|203|203|203|"Moist"|"237504207"|"149068034"
0|0|0|15|15|20|"Wet"|"237503453"|"149067762"
15|15|20|152|152|203|"Moist"|"237503453"|"149067763"
0|0|0|0|23|46|"Moist"|"237501775"|"149067097"
0|23|46|183|183|183|"Wet"|"237501775"|"149067098"
0|0|0|203|203|203|"Moist"|"237504208"|"149068035"
46|61|91|183|183|183|"Moist"|"237503258"|"149067640"
