"mixed"|"22703657"|"17898963"
"smectitic"|"22703658"|"17898964"
"smectitic"|"22703659"|"17898965"
"smectitic"|"22703714"|"17898988"
"smectitic"|"22703715"|"17898989"
"smectitic"|"22703716"|"17898990"
"smectitic"|"22703717"|"17898991"
"siliceous"|"22703575"|"17898931"
"siliceous"|"22703576"|"17898932"
"smectitic"|"22703577"|"17898933"
"siliceous"|"22703781"|"17899020"
"mixed"|"22703774"|"17899019"
"mixed"|"22703626"|"17898951"
"mixed"|"22703604"|"17898942"
"mixed"|"22703685"|"17898973"
"siliceous"|"22703687"|"17898974"
"smectitic"|"22703688"|"17898975"
"smectitic"|"22703753"|"17899006"
"smectitic"|"22703707"|"17898983"
"mixed"|"22703767"|"17899011"
"mixed"|"22703768"|"17899012"
"mixed"|"22703769"|"17899013"
"siliceous"|"22703694"|"17898977"
"smectitic"|"22703695"|"17898978"
"mixed"|"22703699"|"17898979"
"mixed"|"22703710"|"17898984"
"mixed"|"22703711"|"17898985"
"mixed"|"22703712"|"17898986"
"smectitic"|"22703713"|"17898987"
"smectitic"|"22703763"|"17899010"
