"g"|"67122049"|"28048080"
"t"|"67122049"|"28048079"
"p"|"67121980"|"28047953"
"g"|"67121967"|"28048019"
"g"|"67122138"|"28047968"
"t"|"67122138"|"28047967"
"g"|"67121969"|"28048010"
"t"|"67121969"|"28048009"
"p"|"67122060"|"28048075"
"g"|"67122053"|"28048070"
"ss"|"67122053"|"28048069"
"g"|"67121978"|"28047958"
"t"|"67121978"|"28047957"
"g"|"67122042"|"28047981"
"ss"|"67122042"|"28047980"
"g"|"67121968"|"28048013"
"t"|"67121968"|"28048012"
"t"|"67122116"|"28047985"
"g"|"67122062"|"28048077"
"ss"|"67122062"|"28048076"
"g"|"67121983"|"28048063"
"ss"|"67121983"|"28048062"
"g"|"67121979"|"28047959"
"w"|"67121972"|"28047960"
"g"|"67121976"|"28047966"
"p"|"67121891"|"28048004"
"g"|"67122050"|"28048081"
"g"|"67122061"|"28048073"
"g"|"67121964"|"28048018"
"t"|"67121964"|"28048017"
"g"|"67121975"|"28047965"
"g"|"67122137"|"28047948"
"g"|"67122052"|"28048067"
"ss"|"67122052"|"28048068"
"ss"|"67122043"|"28047983"
"k"|"67122043"|"28047982"
"ss"|"67122041"|"28047944"
"k"|"67122041"|"28047943"
"g"|"67121965"|"28048015"
"t"|"67121965"|"28048014"
"w"|"67121971"|"28047962"
"p"|"67122117"|"28047984"
"p"|"67122044"|"28047979"
"g"|"67122054"|"28048072"
"ss"|"67122054"|"28048071"
"g"|"67122059"|"28048074"
"p"|"67122133"|"28048002"
"t"|"67121890"|"28048003"
"g"|"67121982"|"28047954"
"p"|"67122048"|"28048078"
"p"|"67121963"|"28048011"
"t"|"67122132"|"28048001"
"w"|"67121973"|"28047963"
"g"|"67121981"|"28047955"
"g"|"67122140"|"28047947"
"g"|"67121970"|"28047961"
"g"|"67122057"|"28048064"
"g"|"67121966"|"28048016"
"g"|"67122058"|"28048065"
"p"|"67122047"|"28048082"
"p"|"67121977"|"28047956"
"g"|"67121974"|"28047964"
"t"|"67122045"|"28048083"
"g"|"67122056"|"28048066"
"g"|"67122139"|"28047946"
"t"|"67122139"|"28047945"
